run_key,tpsr_percent,asr_percent,rmse,r2,response_entropy,iae,ise,itae,itse,control_power,control_rms,control_tvc,control_iac,control_isc
nominal_run,87.66013759664901,59.164845137557975,0.16109125979109662,0.3644938597536973,5.286238453609103,0.8004371460775048,0.15572800448911736,2.4461930051992034,0.4763468544217466,0.3515665074643408,0.5929304406625965,271.92555349536804,3.1007669184351467,2.1095361901666845
non_nominal_run_1,70.20395534380086,29.641662286258086,0.16717765678433574,0.37303594868726275,5.37341594904909,0.8280971135165427,0.1677137093252991,2.389207259980095,0.4632922459964538,0.41328398487949736,0.6428716706151372,299.25091745650445,3.389873160854904,2.479863559800435
non_nominal_run_2,93.34141371919046,66.89750640513164,0.12064314430739702,0.11552324359075261,5.436694571406486,0.5924435812771229,0.08734065167477387,1.8030816727845385,0.2709650437578965,0.20844606404742674,0.45655893819684085,210.36980500765802,2.3813665753463846,1.250846902082984
non_nominal_run_3,24.092899378313295,-36.150006120718075,0.2700323615436476,0.7024923501511482,4.875411502571999,1.2871908815215036,0.4375772779157896,3.2310283744571597,0.9196170723571241,0.4797581623953927,0.6926457697809124,297.9790683371432,3.5606299858479193,2.8788117514832967
non_nominal_run_4,93.20047111194131,69.56610051742678,0.11622600956835041,0.2175982023503804,5.426892775076111,0.5736304354168911,0.08106274245482104,1.7468771154300025,0.25051460912738105,0.19948143304018146,0.4466334437099191,207.10921596841666,2.3363835795819656,1.1970569665052753
non_nominal_run_5,25.62778206154341,-32.78916403761839,0.167731130081039,0.678061584679444,5.01563610171263,0.8200508973487042,0.16882951941643232,2.3227235065407745,0.4368569567961658,0.4276070283378964,0.6539166830246009,295.707653366491,3.393720144216556,2.565673782319969
non_nominal_run_6,81.4693397662127,42.97107574343358,0.17928478125634906,0.5777555668825989,5.227064540202818,0.8857761261244962,0.1928901503648071,2.533274316045656,0.5174414414725601,0.45795814758478853,0.6767260506178172,311.9324127803437,3.5582159525718797,2.7478476776429046
non_nominal_run_7,82.62907579337771,56.93847562058186,0.11621423424834797,0.6194812827098758,5.194294038636344,0.5900955772463916,0.08104455455371615,1.7343496431398413,0.22910260812971767,0.2618400653649023,0.511703102750904,235.6186568994202,2.6700383630489912,1.57112632205321
non_nominal_run_8,14.852741568317766,-37.20297728055876,0.23403213521706245,0.6256220030640391,4.949886546366966,1.15362125529875,0.32868020535068965,3.239618499784706,0.8501766739405181,0.4798594467773832,0.6927188800497524,310.5903301641067,3.6080674168526388,2.87937668217489
non_nominal_run_9,85.39638638286843,40.45359545896892,0.17172218101601974,0.6816978991189343,5.281337080090234,0.849447425923744,0.17695867797155512,2.4052223255137033,0.45414379866523735,0.45723254136528707,0.6761897229071787,312.343209630242,3.558071614995275,2.743530862884372
non_nominal_run_10,41.44248791488498,20.909345891074917,0.10951159590128888,0.365362751160228,5.362739872931609,0.5467670909993234,0.07196354694817936,1.6699493862379629,0.2221733253120002,0.21260633888336233,0.46109254915186204,214.4227306855807,2.4236993384462377,1.27572423653121
non_nominal_run_11,41.59567004872987,10.657060977904273,0.18416347638699018,0.4647428077034459,5.2805704881647335,0.9105203459106491,0.2035301569533392,2.714507617187392,0.5884036036514674,0.4317104800489853,0.657046786803638,300.11708803819533,3.4323680234756955,2.5904134962905463
non_nominal_run_12,78.07019202620354,32.72492403650493,0.16812213401173118,0.4457909136823963,5.362303498445199,0.8327174400612624,0.16961637055164155,2.4504720586233755,0.4811984529384113,0.41040525664881494,0.6406287978609883,294.4547730685807,3.355850711332063,2.4624946117807918
non_nominal_run_13,90.56546576138626,69.4336775136278,0.07943070172082815,0.6594764452157253,5.214168245315064,0.40876841797986363,0.03785929352389083,1.213659934764895,0.1105121545882347,0.1397205565900386,0.37379213018740587,170.1245439700433,1.928431213068739,0.8384135305466198
non_nominal_run_14,34.29555840809622,-17.31642998594816,0.21226585226052566,0.7186792837360416,5.144106852133351,1.0270981532652297,0.2703854579592252,2.6595776322873705,0.5883023946577111,0.4739112527464539,0.688412124200652,305.33387795922505,3.569604202031001,2.843722526124811
