run_key,tpsr_percent,asr_percent,rmse,r2,response_entropy,iae,ise,itae,itse,control_power,control_rms,control_tvc,control_iac,control_isc
nominal_run,99.97992923754364,98.31375839564305,0.006496788889903333,0.9989663504856449,4.981157881041664,0.03151800105255839,0.0002532918034418658,0.10264421819949823,0.0008440494708217103,0.769938778405052,0.8774615538045254,405.30823246251646,4.364988095610188,4.6203466939909035
non_nominal_run_1,99.71150751709501,94.84844014731658,0.010195783300578699,0.9940390277999455,4.978635597241997,0.05226826920050998,0.000623790453047723,0.170166639953916,0.002102579006830669,1.5344785113520205,1.2387406957680935,423.48877795173496,6.023754775107017,9.208302023688997
non_nominal_run_2,99.8176579373746,95.78123631125617,0.007334962815505874,0.9976223191686028,4.953877432206558,0.03531821688907781,0.00032286328629830565,0.11692068192063,0.0011074156205705022,0.8623761174118914,0.9286420825118208,405.54608557694957,4.562074541338711,5.175082897052421
non_nominal_run_3,99.95140298564692,97.41701969892934,0.004426923950524071,0.999844350497338,4.734539249017225,0.021539704966646363,0.00011760549227639167,0.06629583412330806,0.0003552064803165713,0.6063876867980823,0.7787089872334095,405.82177666434825,4.02843679743915,3.6387881245317395
non_nominal_run_4,99.9564974318321,97.59135453146651,0.004718164930299402,0.9996608924857828,4.809861872371225,0.022788708511551167,0.00013358809920505798,0.07046471024483289,0.00040282287932673924,0.6375841145934817,0.7984886439978227,403.9115876957825,4.093082574980979,3.825986673733001
non_nominal_run_5,99.9451081447739,97.61356296615267,0.005745705992288515,0.9981525534724977,4.861114580009158,0.027667335282625646,0.0001981057672527723,0.08696433288525278,0.0006033333498563413,0.7558504438664354,0.8693965975700821,403.64395817522495,4.352832167964138,4.535725592956542
non_nominal_run_6,99.93842923280225,96.9413366161538,0.004470376393987537,0.9996209991322275,4.861133468877737,0.02156806052053647,0.00011992473102306197,0.06654171962932028,0.0003597159208887391,0.6205870296802104,0.7877734634272789,402.8826886625252,4.055709642914548,3.723978892602563
non_nominal_run_7,99.88997744887833,96.38285436226836,0.010561255913418544,0.9993594393724455,4.902689006935844,0.052649490416580534,0.0006693513443622104,0.17187569275620118,0.002326708973213812,1.4910000278465287,1.2210651202317298,430.07052723804816,5.8406281564404114,8.947441820744164
non_nominal_run_8,99.83040680106375,95.57243384985999,0.01129737792154709,0.9971299681997472,5.028672752971255,0.05617298805312089,0.0007659113907135418,0.18451138386584778,0.002711813610139152,1.6968744694689477,1.3026413433746633,429.235698258565,6.3232865057419145,10.182346616555723
non_nominal_run_9,99.98323287838606,98.45495691755642,0.004637705470712482,0.9999003368873468,4.857349467328282,0.022515805020906672,0.00012907129135042005,0.06952264524865161,0.00039088517126297385,0.6247759147512036,0.7904276783812695,407.1731963262465,4.068079423760665,3.7491283278762815
non_nominal_run_10,99.93290675557655,96.68241095419549,0.004232868649385807,0.9997497627376719,4.761999770753695,0.020480121012590065,0.00010751980528069201,0.06293224003547224,0.0003201028110643902,0.6114793914422452,0.7819714773840828,403.72168877306984,4.036471995647331,3.669289538128702
non_nominal_run_11,99.95914064549619,97.57015216376223,0.009111979190802243,0.9964102847788477,4.904418743596052,0.044519986661960505,0.0004982465503210932,0.14638674697128365,0.0017313528533827592,1.147474579666649,1.071202399020208,412.83876779259447,5.1820624680426,6.885933402714557
non_nominal_run_12,99.96381773447432,97.72679207556848,0.008149287542940744,0.9972074262582274,4.920361629597455,0.039860338580598655,0.0003985295191554519,0.13061448242366128,0.0013493205459855538,1.0193766501113717,1.009641842492362,410.0684274031805,4.892976809943209,6.117277682925931
non_nominal_run_13,99.96174121394677,97.6724201046587,0.007713567445604438,0.9976622750857295,4.931592365763562,0.0382661623806414,0.0003570366884671604,0.12256113954567417,0.001139640292982706,1.029305493214168,1.0145469398771887,411.17406122778647,4.965084446209078,6.176841852385296
non_nominal_run_14,99.3934633760979,91.5007107502975,0.011764224534212643,0.9982600772546123,5.040621494349731,0.05806616881733298,0.0008305202313051104,0.18927902392159549,0.0028834817991077013,1.821536812528815,1.3496432167535297,435.2722989657646,6.726230709168188,10.9310045264487
